commit_id,msg
c0ec61f0243ba1bf9617acd5e9fe44abfc384efa,"restore performance optimization to reduce wrapping

Without optimization:

runCompositionTest
Sum: 710082754 Time: 42.353ms
runNonCompositionalTestWithDirectLoop
Sum: 710082754 Time: 17.719ms
runNonCompositionalTestWithArrayOfFunctions
Sum: 710082754 Time: 17.344ms

With optimization:

runCompositionTest
Sum: 710082754 Time: 23.064ms
runNonCompositionalTestWithDirectLoop
Sum: 710082754 Time: 18.059ms
runNonCompositionalTestWithArrayOfFunctions
Sum: 710082754 Time: 18.88ms"
ff642734febd8c5df95b67d5537c6f571a3c3aa2,remove warnings and cleanup
321f3b005aeb04a2ca0b91a5d9d21d9c407efa65,"Restoring null check removed in recent commit

See https://github.com/Netflix/RxJava/commit/caf3a9434ed4b3b4efba6661891f02417aebf604 for removal

It started causing this unit test to fail:

rx.operators.OperationZip$UnitTest > testAggregatorUnsubscribe FAILED
    java.lang.NullPointerException at OperationZip.java:611

Not sure how I missed it when I reviewed the previous commit … but I did."
6d238a8fad5302fff90f9be752288576c4ca08f0,"Merge pull request #133 from benjchristensen/fixes

Various fixes"
75b9766db85e103a1d55494d250cacdac64896e2,"Renamed takeWhile with Func2 parameter to takeWhileWithIndex

Added takeWhile and takeWhileWithIndex methods to Observable"
671c9315315beaa4f909a5875549c927141cadf3,Update language-adaptors/rxjava-scala/README.md
28b4ac549e5cc240ef4becf6a2acb70fccb3cbe7,Update language-adaptors/rxjava-clojure/README.md
285fb0caacf65ffbfd2870d8b72dda80ede26ef2,Update language-adaptors/rxjava-clojure/README.md
cdfc59114252e341876011635505092aebd8da6a,Update language-adaptors/rxjava-groovy/README.md
d2dc9b85aea0df797ea23219b743b826330bc81c,Update language-adaptors/rxjava-jruby/README.md
142d17dedfd1cbd613dd985ba4dba08dfaf64e23,Update language-adaptors/rxjava-scala/README.md
d25a017426d5b3fea78cc97b7f27551f3a52272e,Create CHANGES.md
5c28d6f757803c13aa66865d73f738b5c484acd3,Adapt Groovy VideoExample to Clojure
0b38d4f74e0fc4ac0b94e284308426e9766198e5,"Merge pull request #134 from daveray/clj-video-example

Adapt Groovy VideoExample to Clojure"
6c7fca909ac7f4d7dc3839d6aa14be6b897350a5,Idiomatic usage of import in ns macro.
61bcf792ef5e6be9e477891294dfcb7fce7c272b,"Merge pull request #135 from ddeaguiar/idiomatic

Idiomatic usage of import in ns macro in rx-examples."
e6ded5219195ea90e37cdd2f3b21db6d52531ee1,Update language-adaptors/rxjava-jruby/README.md
66fda0543efe499e1c20897649727ae1bd08ad99,Update language-adaptors/rxjava-scala/README.md
dee6fa9c5b599abf685527e357ffb7e89494a1e1,Implemented range operator
8501c6234f73a50257a394ebd67379504ac29197,"Merge pull request #137 from mairbek/ranges

Implemented range operator. Fixes issue #68"
971e794bf00a8b120e6eea8f03861285188c78d0,"Merge pull request #136 from myfreeweb/patch-1

Add examples for jbundler and sbt"
e3571af4af33a5f939e184c8b1f0ac0507d70123,Implemented sequenceEqual method
4c5c41364411e062d5d71f22ce311700d045821b,TakeLast basic implementation
2f40ce3e2a5e244315c16865967f58930f57cf7c,Added takeLast to Observable
fa37722ea7461771f11658bf9f49a5514a0dc97f,Fixed import
58ebd1b7f1a1b9370762dd4c3cfa615d94376f66,Added ordering unit test
18fbf8712e4530014371be51e14a8e839c80244b,styling: new line at the end of the file
b35e7f2b686aa9d8071aaf7841c3014cb38bd56c,"Merge pull request #138 from mairbek/SequenceEqual

Implemented SequenceEqual Operator"
33857d833814b0a9220ea8e55fa7ad8f15c2a9ac,"Merge pull request #140 from mairbek/TakeLast

Implemented TakeLast operator"
88625d40d07081c0b7991fdbb5232ac50438b240,fix grammar and add success log
27cac840071aa6c569e42aca8fa211dc2ead14b0,example (as test) of closure versus map
ee001549ef06f17f38139b4cfecd4ce4445ecb6d,"RxJavaErrorHandler Plugin

https://github.com/Netflix/RxJava/issues/141 Error Handler Plugin
https://github.com/Netflix/RxJava/issues/139 Plugin System"
23872ddfbc3dcce0462123a9f969c1e9c3fe5b23,"Merge pull request #142 from benjchristensen/dev

RxJava ErrorHandler Plugin"
5943731a7ca80b651513d53b69ccdf90f113d321,0.5.2-SNAPSHOT
9d4d6f15646afc11da3d4d258ef3cd0cdbfe66e5,0.5.3-SNAPSHOT
4a2442b31f503b44ad279868457f6cf720a32315,Version 0.5.2
112c875adac1e06ec47fd8bdc40d8ccc0582ce1c,Used mockito's inOrder to verify ordering instead of hand-written stub
aca523ccf289d12c031eb383acc779b95e93e224,"Merge pull request #144 from mairbek/mocks-inorder

Used mockito's inOrder to verify ordering instead of hand-written stub"
51a12c1d5c5b88d7788e61d8927b1099c616d017,fix javadocs - cleanup some warnings
a7d0e9391b0ae66fdec9cc522c46d93a1c34842a,"Add IntelliJ Idea support to Gradle build

https://github.com/Netflix/RxJava/issues/143"
23f04ccd48ba7fc937c8c5fe65fed8bf6b0732dc,"Merge pull request #145 from benjchristensen/issue-143

Support 'provided' dependencies in IntelliJ Idea build"
2d252bc9a1afbdf8b08bf70f1c6b8c5650923c6d,play with tests in clojure -- still not hooked up or actual tests
7e1e01e1ba618ed19216ef37efd310c226abcf11,javadocs
a69f49608546fc946a90f0a19281c9e098d8c1ec,"merge Operator TakeWhile pull request

This is a manual merge of https://github.com/Netflix/RxJava/pull/125 contributed by @mairbek"
3dfae54c6a3d4294577a5c3632f78f483039f0cb,"Merge pull request #146 from benjchristensen/issue-87

Merge of Pull #125 for Issue #87 Operator TakeWhile"
f3362eb788219ecc55d4b648e2fb589e8d6171d1,add error handling for onNext failure so exceptions don't get thrown up the stack but instead via onError
6c4cd18e647dfc30ef482245a36cede4d81eb20a,"Operator: ForEach

https://github.com/Netflix/RxJava/issues/45"
100f571c9a2835d5a30a55374b9be74c147e031f,"forEach with Action1 but not Observer

I re-read the MSDN docs and found the previous implementation wasn't complying with the contract.

http://msdn.microsoft.com/en-us/library/hh211815(v=vs.103).aspx

I believe this now does."
e2e62cb134a91710b76775597c146d34a46fb29b,add a comment so it doesn't look like this was left empty by accident
643627edd66312e4f3f07c99a63618834bf46071,"removing unused verifications

https://github.com/Netflix/RxJava/pull/147/files#r3028477"
4880e34a45bea09828ce3419919d5fd3336f54f3,mark the thread as interrupted again
481f948f7ccc05320c78f848f3089d0c163aa5cd,"Merge pull request #147 from benjchristensen/issue-45

Operator: forEach"
00d3ec1beee7b25425c6d495f6259760433cbe28,Version 0.5.3
e4c7d05d3bd7685294e3b30ba1d83aef33a12574,0.5.4-SNAPSHOT
b80d580784f0780f12c99b82fc715e81bc4703f6,fix links
9bce3cdf686af601aa3541969bb393686bba77f9,Cleaned up copy-paste in merge code
457b6a6d3051444be09f5c18486229658440b736,Basic takeUntil implementation
a7309793a53a47ffc8a19c58d3629ee774b2e481,Tests for TakeUntil
01d824e40248f8e1867e95ea66c46668017a8f8f,"Merge pull request #150 from mairbek/code-cleanup

Cleaned up copy-paste in OperationMerge code"
21add00b9afe3ac1dd277dfd2f5257421eac1f89,"Change target compatibility from 1.5 to 1.6

https://github.com/Netflix/RxJava/issues/153"
c4e1b3e4ee8b46f77846c5d1e81dae04492eb90e,"Merge pull request #155 from benjchristensen/issue-153

Change target compatibility from 1.5 to 1.6"
c10df109f77417074c28e177971323a26d8373a0,Implemented toIterable method
1292a9a07c0fba2128800fc645011040e4833cdf,Static method plus javadoc
73fec02254dd8e7129b674c541690f8fa7d324df,Implemented single and singleOrDefault methods
f0e8ca3a3edf3cf7473611b6c7f604f0ae5fd6ad,"Merge pull request #156 from mairbek/toIterable

Implemented ToIterable Operation"
a5816950570210eef4857584b1527f3658ca6c2d,Merge branch 'master' into single
3cfc1567b5481fb2569e2ef00f49a83d496eee3c,Updated single/singleOrDefault according to review request
5ef9e4a564d60adc22cc107d167fe23231ba91e6,Implemented lastOrDefault
ef3ff562a535c6fa0c42beb1cf73d4bb578e1e8f,"Merge pull request #159 from mairbek/lastOrDefault

Implemented LastOrDefault Operator"
4c98d3788497aff16a8280820d3955356e326f0b,"Merge remote-tracking branch 'mairbek/single'
Added @throws javadocs
Suppressed rawtypes warnings

Conflicts:
	language-adaptors/rxjava-groovy/src/test/groovy/rx/lang/groovy/ObservableTests.groovy
	rxjava-core/src/main/java/rx/Observable.java"
4c714ab91937fb04af70edececcebce489f4a815,Update README.md
f55ef5c605aaf944c77ce133f446a1cc9c00dfd2,"Merge pull request #160 from benjchristensen/mairbek_single-merge

Manual merge of mairbek/single Pull #157"
bf52f3d0b40b0abe1d83a10e19807afdbc1d79cd,"Merge pull request #161 from garethbowles/master

Added build status badges"
d72c5892774a2c67327e07943f6b92416317871f,Implemented Operation Next
fde1416758b41b6a3962d3950d88ae18acc4d31d,Updated Observable API
57fd568007272f457b2ee60a6077771eb8c424af,Renamed variable
d624e9648f346ecea58d0035eb34f120baeecfb9,Fixed bug in ranges
f7f47de25cad1ae27c9e20efce6c0e42d303a607,"Merge pull request #165 from mairbek/range-fix

Fixed bug in ranges"
f7b7c2788d60fe91b89a3cc8f33b99c6ba8164ee,Merge remote-tracking branch 'mairbek/next-new' into next-review
